source,target,weight
0,120,5
0,119,5
0,98,5
0,16,5
0,72,5
0,132,5
0,76,5
0,103,5
0,115,10
0,58,10
0,68,5
0,52,5
0,42,10
0,2,5
0,32,5
0,15,10
2,3,10
4,101,5
4,106,5
133,4,10
4,89,5
4,90,5
121,4,10
4,84,5
4,1,5
4,8,5
4,104,5
4,60,5
4,5,5
10,4,10
4,25,5
21,5,10
10,5,10
5,12,5
7,99,5
7,90,5
7,76,5
109,7,10
7,58,5
7,44,5
7,62,5
7,3,5
7,106,5
7,125,5
7,60,5
7,22,5
7,91,5
7,116,5
7,52,5
7,13,5
7,15,5
7,49,5
7,83,5
7,10,5
7,26,5
7,1,5
7,103,5
107,7,10
7,131,5
7,24,5
7,111,5
7,2,5
7,81,5
7,12,5
7,9,5
7,5,5
7,8,5
7,21,5
7,20,5
63,7,10
7,23,5
7,43,5
7,115,5
69,7,10
7,92,5
7,42,5
7,35,5
113,7,10
7,36,5
7,46,5
7,59,5
7,104,5
7,29,5
7,87,10
7,75,10
55,7,10
7,32,5
51,7,10
40,7,10
7,34,5
39,7,10
38,7,10
37,7,10
7,16,5
9,106,5
25,9,10
10,3,5
10,76,5
10,106,10
10,89,10
10,99,5
10,105,5
10,121,10
10,28,5
10,90,10
10,120,10
10,101,10
10,117,5
10,103,5
10,98,5
10,82,5
10,111,10
10,49,10
10,47,5
10,77,10
10,42,5
10,64,5
10,104,10
10,93,5
10,1,5
10,26,10
10,91,5
10,43,10
10,92,5
10,88,5
10,18,10
10,21,5
10,61,10
10,60,5
10,12,5
10,11,10
10,62,10
10,8,5
10,14,10
10,41,5
10,59,10
10,54,5
10,32,5
10,44,5
10,24,5
10,25,10
10,34,10
10,17,5
10,0,5
10,9,5
10,2,5
101,11,10
11,90,10
11,121,10
11,120,10
11,25,5
11,43,10
11,91,5
11,22,5
11,1,5
11,8,5
11,88,5
11,60,5
11,59,10
11,5,5
11,9,5
11,12,5
11,14,10
11,2,5
12,21,10
13,44,5
13,15,10
13,23,10
13,3,5
13,58,10
115,13,10
13,72,10
13,53,10
13,35,10
13,2,5
13,1,5
13,65,10
14,62,5
14,88,5
14,116,5
14,0,5
14,93,5
14,3,5
14,106,5
14,61,5
133,14,10
14,21,5
14,63,5
14,90,10
14,120,5
121,14,10
14,41,5
14,34,5
14,25,5
14,104,5
14,36,10
14,9,5
14,60,5
14,8,5
14,92,5
14,26,10
101,14,10
14,91,5
14,43,10
14,2,5
14,5,5
14,32,5
14,22,5
14,12,5
15,20,5
15,99,5
15,5,5
15,79,10
15,94,5
15,27,10
15,86,10
15,135,5
15,29,5
15,72,10
15,6,5
15,80,10
115,15,10
15,58,10
15,66,10
15,83,10
15,65,10
15,3,5
15,42,5
15,53,10
15,32,5
15,44,10
15,64,5
15,68,5
15,1,5
15,52,10
15,2,5
15,45,5
109,17,10
17,67,5
17,81,5
17,91,5
17,22,5
17,21,5
17,60,5
17,5,5
17,8,5
17,1,5
17,42,5
17,76,5
104,17,10
17,51,5
17,39,10
17,37,5
17,75,5
17,40,10
17,44,5
17,12,5
17,9,5
17,6,5
17,19,10
18,81,5
18,40,5
18,67,10
18,106,5
18,53,5
18,92,5
134,18,10
18,46,10
104,18,10
18,25,10
18,75,10
18,39,10
18,37,10
18,34,10
18,61,5
18,54,10
19,92,5
19,25,5
19,44,5
19,28,5
19,21,5
19,9,5
19,8,5
19,60,5
19,5,5
22,34,5
22,61,10
22,93,5
22,91,5
22,49,5
22,44,5
22,25,5
22,2,5
22,60,5
22,1,5
23,68,10
23,72,10
23,20,5
24,37,10
24,39,10
25,3,5
25,89,10
106,25,10
101,25,10
25,119,5
25,120,5
25,90,10
25,40,10
25,39,10
133,25,10
111,25,10
113,25,10
25,2,5
25,0,5
25,56,5
25,5,5
25,42,5
25,1,5
25,88,5
25,26,10
117,25,10
105,25,10
25,53,5
25,93,10
25,63,10
102,25,10
25,95,10
25,92,10
25,77,10
25,82,10
25,49,10
25,67,5
25,8,5
25,61,10
25,12,5
25,41,10
25,34,10
133,26,10
116,26,10
26,3,5
26,106,5
26,90,10
26,22,5
26,11,5
26,42,5
26,98,5
26,44,5
26,91,5
26,51,5
26,59,5
26,2,5
26,36,5
101,26,10
26,1,5
26,62,10
26,88,10
26,71,10
26,9,5
26,8,5
26,60,5
26,5,5
137,27,10
27,3,5
27,104,5
27,120,5
27,94,10
27,86,10
135,27,10
27,79,10
27,42,5
27,2,5
136,29,10
115,29,10
29,65,10
29,35,10
29,52,5
29,72,10
29,66,10
109,31,10
104,31,10
31,28,5
31,75,10
31,40,5
31,37,10
31,81,5
31,72,5
31,38,5
31,39,10
31,18,5
31,8,5
31,10,5
33,1,5
33,10,5
33,14,5
33,8,5
110,33,10
33,71,5
33,9,5
33,36,5
33,57,5
33,60,5
33,5,5
33,21,5
34,90,10
34,119,5
34,3,5
34,106,5
34,44,5
34,88,5
111,34,10
104,34,10
34,63,10
34,42,5
34,92,5
34,113,5
34,116,5
34,47,5
34,93,5
34,15,5
34,82,10
34,5,5
34,21,5
34,77,10
34,62,5
34,67,10
34,57,5
34,39,10
34,40,10
34,41,10
34,53,5
34,8,5
34,37,10
34,2,5
34,61,10
34,12,5
34,9,5
34,16,5
35,132,5
35,83,10
136,35,10
35,2,5
115,35,10
35,72,10
35,65,10
35,16,5
101,36,10
104,36,10
36,11,5
36,92,5
36,21,5
36,59,10
36,22,5
36,25,5
36,93,5
36,1,5
36,60,5
36,91,10
36,61,5
36,34,5
36,5,5
36,49,10
36,9,5
36,43,10
36,16,5
36,2,5
36,57,10
36,8,5
37,49,5
37,36,5
37,97,5
37,115,5
37,26,5
37,90,5
37,121,5
37,120,5
37,42,5
37,9,5
37,30,5
37,107,5
37,111,5
113,37,10
109,37,10
37,10,5
37,67,10
37,92,5
37,117,5
37,63,10
37,69,10
37,59,5
37,41,5
37,77,10
37,87,10
37,75,10
37,51,10
37,55,10
37,25,5
37,61,5
37,40,10
37,39,10
37,38,10
38,63,10
38,40,10
38,87,10
38,75,10
38,55,5
38,51,10
38,39,10
39,9,5
39,90,5
39,89,5
39,106,5
39,59,5
39,103,5
39,120,5
39,81,5
107,39,10
39,0,5
39,62,5
39,61,5
39,111,5
39,97,10
39,112,5
39,82,5
39,42,5
39,117,5
113,39,10
39,12,5
39,57,5
39,77,5
39,92,5
39,47,5
39,56,5
39,63,10
39,102,5
39,54,5
